pair_id,denominator,retained,removed,modified,unresolved,retention_lower,retention_upper,loss_lower,loss_upper,decided_only_retention,decided_coverage
548090,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
550051,0,0,0,0,0,,,,,,
55155,0,0,0,0,0,,,,,,
551665,2,0,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0
552221,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
55244,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
553747,0,0,0,0,0,,,,,,
554114,0,0,0,0,0,,,,,,
554582,0,0,0,0,0,,,,,,
555412,0,0,0,0,0,,,,,,
55857,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
559550,0,0,0,0,0,,,,,,
561517,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
563153,2,1,0,0,1,0.5,1.0,0.0,0.5,1.0,0.5
564003,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
565761,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
565778,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
566324,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
567171,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
567740,0,0,0,0,0,,,,,,
568814,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
569801,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
570101,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
570659,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
572050,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
572184,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
574280,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
575901,0,0,0,0,0,,,,,,
575946,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
578383,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
579468,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
58029,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
5804,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
581451,0,0,0,0,0,,,,,,
581863,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
61715,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
626,3,0,3,0,0,0.0,0.0,1.0,1.0,0.0,1.0
63040,0,0,0,0,0,,,,,,
64189,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
6460,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
65350,0,0,0,0,0,,,,,,
66841,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
68418,0,0,0,0,0,,,,,,
69946,0,0,0,0,0,,,,,,
70471,0,0,0,0,0,,,,,,
71090,4,0,3,0,1,0.0,0.25,0.75,1.0,0.0,0.75
73201,0,0,0,0,0,,,,,,
74789,0,0,0,0,0,,,,,,
75806,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
76484,0,0,0,0,0,,,,,,
80185,0,0,0,0,0,,,,,,
82465,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
84477,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
84701,0,0,0,0,0,,,,,,
85162,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
85674,1,0,0,1,0,0.0,0.0,1.0,1.0,0.0,1.0
86250,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
87144,0,0,0,0,0,,,,,,
8899,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
89296,0,0,0,0,0,,,,,,
89359,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
89618,0,0,0,0,0,,,,,,
91349,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
92248,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
92679,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
93620,0,0,0,0,0,,,,,,
94760,0,0,0,0,0,,,,,,
96034,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
96755,0,0,0,0,0,,,,,,
99581,2,0,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0
