cohort_class,prefix_len,precision_path,effect,n,mean,std,ci95_low,ci95_high
control,3,fp32_projection,sla_effect_M01_minus_M00,32,-2.6737407445907593,0.5109000516633498,-2.832893967628479,-2.491479477286339
control,3,fp32_projection,vsv_effect_M10_minus_M00,32,3.9769477248191833,1.7379490831124755,3.4178557865321637,4.595832313597202
control,3,release_native,combined_effect_M11_minus_M00,32,0.5594482421875,2.0686572654973188,-0.10817260742187498,1.293341064453125
control,3,release_native,interaction,32,-0.7445068359375,0.29543544790176035,-0.8454681396484375,-0.6434295654296875
control,3,release_native,sla_effect_M01_minus_M00,32,-2.6732177734375,0.509184724535087,-2.838134765625,-2.4890106201171873
control,3,release_native,vsv_effect_M10_minus_M00,32,3.9771728515625,1.7374628854055612,3.413446044921875,4.594735717773437
control,5,fp32_projection,combined_effect_M11_minus_M00,32,0.9169611036777496,1.647532119065749,0.38293336406350137,1.4909161806106568
control,5,fp32_projection,interaction,32,-0.8543935120105743,0.6145490898647671,-1.0718593746423721,-0.6496583387255669
control,5,fp32_projection,sla_effect_M01_minus_M00,32,-2.033079206943512,1.0541288010826229,-2.377505112439394,-1.66688884049654
control,5,fp32_projection,vsv_effect_M10_minus_M00,32,3.804433822631836,1.5099175906807185,3.3186790861189364,4.338679185509681
control,5,release_native,combined_effect_M11_minus_M00,32,0.91864013671875,1.6486459718913022,0.3764335632324219,1.5052963256835934
control,5,release_native,interaction,32,-0.854156494140625,0.6152699567171219,-1.0688926696777343,-0.6485221862792969
control,5,release_native,sla_effect_M01_minus_M00,32,-2.031890869140625,1.0544051577474525,-2.371990203857422,-1.6597427368164066
control,5,release_native,vsv_effect_M10_minus_M00,32,3.8046875,1.5116610969550923,3.321402740478516,4.358911895751953
control,10,fp32_projection,combined_effect_M11_minus_M00,32,0.4169009327888489,2.0124840149077623,-0.24542652070522306,1.1086200542747975
control,10,fp32_projection,interaction,32,-0.675595611333847,0.49375754960047796,-0.845520093291998,-0.5131061695516109
control,10,fp32_projection,sla_effect_M01_minus_M00,32,-2.183922588825226,1.1171040379655561,-2.584786144644022,-1.815196704864502
control,10,fp32_projection,vsv_effect_M10_minus_M00,32,3.2764191329479218,1.5194071712131079,2.800710065662861,3.8371511720120908
control,10,release_native,combined_effect_M11_minus_M00,32,0.41522216796875,2.0146011600617006,-0.26076507568359375,1.1045150756835933
control,10,release_native,interaction,32,-0.67718505859375,0.4921210498555169,-0.8480239868164062,-0.5086654663085938
control,10,release_native,sla_effect_M01_minus_M00,32,-2.1832275390625,1.1192959733102195,-2.5722671508789063,-1.81146240234375
control,10,release_native,vsv_effect_M10_minus_M00,32,3.275634765625,1.5202627264853912,2.7918075561523437,3.8358871459960935
