cohort_class,prefix_len,precision_path,method,n,mean_eos_margin,mean_eos_prob,mean_eos_rank,mean_entropy
control,3,release_native,M01,32,-18.701904296875,1.3415303470095535e-08,218.65625,0.13205210769365294
control,3,release_native,M10,32,-12.051513671875,8.72859623868294e-06,66.34375,0.3911798420413106
control,3,release_native,M11,32,-15.46923828125,4.1124439731365925e-07,91.375,0.14199029289011378
control,5,fp32_projection,M00,32,-14.572221249341965,3.949932587538063e-07,1232.53125,1.4509045087033883
control,5,fp32_projection,M01,32,-16.605300456285477,7.953468634559757e-08,1502.6875,1.0884178184842312
control,5,fp32_projection,M10,32,-10.767787426710129,2.18769144915143e-05,340.25,1.7044368238421157
control,5,fp32_projection,M11,32,-13.655260145664215,1.49895776435649e-06,445.125,1.0152074137149611
control,5,release_native,M00,32,-14.572509765625,3.951685080272327e-07,1231.875,1.4506972162635066
control,5,release_native,M01,32,-16.604400634765625,7.956239387154132e-08,1501.84375,1.0884828714570176
control,5,release_native,M10,32,-10.767822265625,2.1881947667168333e-05,339.96875,1.7045072402106598
control,5,release_native,M11,32,-13.65386962890625,1.4989081877914145e-06,444.5625,1.0154445233638398
control,10,fp32_projection,M00,32,-14.042846351861954,7.496403426204834e-07,783.65625,1.4178186224053206
control,10,fp32_projection,M01,32,-16.22676894068718,1.418233180477957e-07,1051.0625,1.0528137360477103
control,10,fp32_projection,M10,32,-10.766427218914032,1.5386298922948072e-05,307.21875,1.644897086895071
control,10,fp32_projection,M11,32,-13.625945419073105,1.8747564693444296e-06,416.3125,1.134206588008965
control,10,release_native,M00,32,-14.042236328125,7.504236244071372e-07,782.9375,1.4179317590933351
control,10,release_native,M01,32,-16.2254638671875,1.422386058866354e-07,1049.875,1.0535217118749642
control,10,release_native,M10,32,-10.7666015625,1.538094105413279e-05,306.71875,1.6450133682228625
control,10,release_native,M11,32,-13.62701416015625,1.873282671149834e-06,415.84375,1.1344057657115627
